SK_ID_CURR,TARGET,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,CNT_FAM_MEMBERS,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,HOUR_APPR_PROCESS_START,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,DAYS_LAST_PHONE_CHANGE,AMT_REQ_CREDIT_BUREAU_YEAR,age_years,employment_years,days_employed_anom_flag,credit_income_ratio,annuity_income_ratio,credit_goods_ratio,employment_age_ratio,bureau_records_count,bureau_active_credit_count,bureau_closed_credit_count,bureau_bad_debt_credit_count,bureau_sold_credit_count,bureau_overdue_credit_count,bureau_credit_day_overdue_max,bureau_credit_day_overdue_mean,bureau_total_credit_sum,bureau_total_credit_debt_sum,bureau_total_credit_overdue_sum,bureau_total_credit_limit_sum,bureau_total_annuity_sum,bureau_total_prolong_sum,bureau_total_max_overdue_sum,bureau_days_credit_mean,bureau_days_credit_min,bureau_days_credit_max,bureau_days_credit_update_mean,bureau_future_enddate_mean,bureau_unique_credit_types,bureau_unique_currencies,bureau_debt_to_credit_ratio,prev_app_count,prev_approved_count,prev_refused_count,prev_amt_application_sum,prev_amt_credit_sum,prev_amt_annuity_sum,prev_hour_appr_mean,prev_rate_down_payment_mean,prev_days_decision_mean,prev_approval_rate
100002,1,Cash loans,M,N,Y,0,202500.0,406597.5,24700.5,351000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0.018801,-9461,-637,-3648.0,-2120,1.0,2,2,WEDNESDAY,10,Business Entity Type 3,0.0830369673913225,0.2629485927471776,0.1393757800997895,-1134.0,1.0,25.90280629705681,1.7440109514031483,0,2.007888888888889,0.1219777777777777,1.1583974358974358,0.0673290349857309,8.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,865055.565,245781.0,0.0,31988.565,0.0,0.0,8405.145,-874.0,-1437.0,-103.0,-499.875,309.0,2.0,1.0,0.2841216332733493,1.0,1.0,0.0,179055.0,179055.0,9251.775,9.0,0.0,-606.0,1.0
100003,0,Cash loans,F,N,N,0,270000.0,1293502.5,35698.5,1129500.0,State servant,Higher education,Married,House / apartment,0.0035409999999999,-16765,-1188,-1186.0,-291,2.0,1,1,MONDAY,11,School,0.3112673113812225,0.6222457752555098,,-828.0,0.0,45.90006844626968,3.252566735112936,0,4.79075,0.1322166666666666,1.145199203187251,0.0708619147032508,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1017400.5,0.0,0.0,810000.0,0.0,0.0,0.0,-1400.75,-2586.0,-606.0,-816.0,1216.0,2.0,1.0,0.0,3.0,3.0,0.0,1306309.5,1452573.0,169661.97,14.666666666666666,0.0500302975712811,-1305.0,1.0
100004,0,Revolving loans,M,Y,Y,0,67500.0,135000.0,6750.0,135000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0.010032,-19046,-225,-4260.0,-2531,1.0,2,2,MONDAY,9,Government,,0.5559120833904428,0.7295666907060153,-815.0,0.0,52.145106091718,0.6160164271047228,0,2.0,0.1,1.0,0.0118135041478525,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,189037.8,0.0,0.0,0.0,0.0,0.0,0.0,-867.0,-1326.0,-408.0,-532.0,,1.0,1.0,0.0,1.0,1.0,0.0,24282.0,20106.0,5357.25,5.0,0.2120076030674443,-815.0,1.0
100006,0,Cash loans,F,N,Y,0,135000.0,312682.5,29686.5,297000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,0.008019,-19005,-3039,-9833.0,-2437,2.0,2,2,WEDNESDAY,17,Business Entity Type 3,,0.6504416904014653,,-617.0,,52.03285420944559,8.320328542094456,0,2.3161666666666667,0.2199,1.0528030303030302,0.1599052880820836,,,,,,,,,,,,,,,,,,,,,,,,9.0,5.0,1.0,2449829.34,2625259.5,141907.05,14.666666666666666,0.1634121025409242,-272.44444444444446,0.5555555555555556
100007,0,Cash loans,M,N,Y,0,121500.0,513000.0,21865.5,513000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0.028663,-19932,-3038,-4311.0,-3458,1.0,2,2,THURSDAY,11,Religion,,0.3227382869704046,,-1106.0,0.0,54.57084188911704,8.317590691307323,0,4.222222222222222,0.1799629629629629,1.0,0.1524182219546458,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,146250.0,0.0,0.0,0.0,0.0,0.0,0.0,-1149.0,-1149.0,-1149.0,-783.0,,1.0,1.0,0.0,6.0,6.0,0.0,903181.5,999832.5,73672.83,12.333333333333334,0.1595164060251766,-1222.8333333333333,1.0
100008,0,Cash loans,M,N,Y,0,99000.0,490495.5,27517.5,454500.0,State servant,Secondary / secondary special,Married,House / apartment,0.035792,-16941,-1588,-4970.0,-477,2.0,2,2,WEDNESDAY,16,Other,,0.3542247319929012,0.6212263380626669,-2536.0,1.0,46.38193018480493,4.347707049965777,0,4.9545,0.2779545454545454,1.0791980198019802,0.0937370875391063,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,468445.5,240057.0,0.0,0.0,0.0,0.0,0.0,-757.3333333333334,-1097.0,-78.0,-611.0,471.0,1.0,1.0,0.5124544904369879,5.0,4.0,0.0,778509.0,813838.5,63358.785,12.0,0.0730507075001457,-1192.0,0.8
100009,0,Cash loans,F,Y,Y,1,171000.0,1560726.0,41301.0,1395000.0,Commercial associate,Higher education,Married,House / apartment,0.035792,-13778,-3130,-1213.0,-619,3.0,2,2,SUNDAY,16,Business Entity Type 3,0.7747614130547695,0.7239998516953141,0.4920600938649263,-1562.0,2.0,37.72210814510609,8.569472963723477,0,9.127052631578948,0.2415263157894736,1.1188,0.2271737552620119,18.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,4800811.5,1077349.5,0.0,0.0,0.0,0.0,0.0,-1271.5,-2882.0,-239.0,-851.6111111111111,861.6666666666666,2.0,1.0,0.2244098732058111,7.0,7.0,0.0,537192.0,490963.5,70359.885,13.714285714285714,0.1266023051333171,-719.2857142857143,1.0
100010,0,Cash loans,M,Y,Y,0,360000.0,1530000.0,42075.0,1530000.0,State servant,Higher education,Married,House / apartment,0.0031219999999999,-18850,-449,-4597.0,-2379,2.0,3,3,MONDAY,16,Other,,0.7142792864482229,0.5406544504453575,-1070.0,0.0,51.60848733744011,1.2292950034223136,0,4.25,0.116875,1.0,0.0238196286472148,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,990000.0,348007.5,0.0,0.0,0.0,0.0,0.0,-1939.5,-2741.0,-1138.0,-578.0,689.0,2.0,1.0,0.3515227272727272,1.0,1.0,0.0,247212.0,260811.0,27463.41,16.0,0.0,-1070.0,1.0
100011,0,Cash loans,F,N,Y,0,112500.0,1019610.0,33826.5,913500.0,Pensioner,Secondary / secondary special,Married,House / apartment,0.018634,-20099,365243,-7427.0,-3514,2.0,2,2,WEDNESDAY,14,XNA,0.5873340468730377,0.2057472880073281,0.7517237147741489,0.0,1.0,55.0280629705681,,1,9.0632,0.30068,1.1161576354679803,,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,435228.3,0.0,0.0,0.0,0.0,0.0,10147.23,-1773.0,-2508.0,-1309.0,-1454.75,,2.0,1.0,0.0,4.0,3.0,1.0,810931.5,1047361.5,54909.585,11.75,0.05000522275463,-1784.5,0.75
100012,0,Revolving loans,M,N,Y,0,135000.0,405000.0,20250.0,405000.0,Working,Secondary / secondary special,Single / not married,House / apartment,0.0196889999999999,-14469,-2019,-14437.0,-3992,1.0,2,2,THURSDAY,8,Electricity,,0.7466436294590924,,-1673.0,,39.61396303901437,5.5277207392197125,0,3.0,0.15,1.0,0.1395397055774414,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,0.0,243720.0,296478.0,23682.465,12.5,0.0,-779.75,0.75
